Survived-Women-FirstClass,140
Survived-Women-SecondClass,80
Survived-Women-ThirdClass,76
Survived-Women-Crew,20

Survived-Men-FirstClass,57
Survived-Men-SecondClass,14
Survived-Men-ThirdClass,75
Survived-Men-Crew,192

Survived-Children-FirstClass,6
Survived-Children-SecondClass,24
Survived-Children-ThirdClass,27

Deceased-Children-FirstClass,0
Deceased-Children-SecondClass,0
Deceased-Children-ThirdClass,52

Deceased-Women-FirstClass,4
Deceased-Women-SecondClass,3
Deceased-Women-ThirdClass,89
Deceased-Women-Crew,3

Deceased-Men-FirstClass,118
Deceased-Men-SecondClass,154
Deceased-Men-ThirdClass,387
Deceased-Men-Crew,693
